timeStamp,label,response_time,latency,error,throughput
1.73E+12,A201_LaunchPage,6732,1287,200,9855
1.73E+12,TA201____Infra__Launch_Page,6732,1287,200,9855
1.73E+12,A202_Login_/tenancy/web/login,805,0,200,12455
1.73E+12,A202_Login_/tenancy/web/login-0,805,0,200,851
1.73E+12,A202_Login_/tenancy/web/login-1,3681,0,200,4597
1.73E+12,A202_Login_/tenancy/web/login-2,407,0,200,440
1.73E+12,A202_Login_/tenancy/web/login-3,819,0,200,743
1.73E+12,A202_Login_/tenancy/web/login-4,380,0,200,5824
1.73E+12,A203_Login_/api/v2/users/me,523,0,200,6784
1.73E+12,TA204____Login_bzm - Parallel Controller,0,0,200,20154
1.73E+12,A208_Login_/api/v2/tenants//customBranding?rndId=&cascade=true,1527,950,200,1032
1.73E+12,A206_Login_/api/v2/navigation/menu,1527,950,200,5640
1.73E+12,A205_Login_/api/v2/tenants//featureset?rndId=,1650,950,200,3621
1.73E+12,A207_Login_/clients.json?mspId=&_ajax=true,1290,950,200,9861
1.73E+12,A209_Login_//api/v2/tenants/b820426a-3dd2-4190-7f37-9c0085c6bdfe,1071,0,200,6732
1.73E+12,ZZZ__Trans_Controller_Dummy_Sampler,0,0,200,114
1.73E+12,TA202____Infra__Login_Page,2399,0,200,46239
1.73E+12,ZZZ__Trans_Controller_Dummy_Sampler,0,0,200,114
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate,308,0,200,9861
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-0,308,0,200,673
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-1,322,0,200,505
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-2,1655,0,200,896
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-3,805,0,200,869
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-4,413,0,200,351
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-5,630,0,200,743
1.73E+12,A214_SelectClient_/client.do?action=contextUpdate-6,410,0,200,5824
1.73E+12,A215_SelectClient_/api/v2/tenants/client/d9e7f806-98aa-a155-8571-1fd205ec2db0,629,0,200,5330
1.73E+12,TA214____Infra_Select_Client,937,0,200,15305
1.73E+12,A301_Logs_LandingPage_/infra-ui/logs,305,0,200,2707
1.73E+12,A302_Logs_LandingPage_/api/v2/users/me?rndId=,603,0,200,6784
1.73E+12,TA303____Logs_LandingPage - bzm - Parallel Controller,0,0,200,20154
1.73E+12,A306_Logs_LandingPage_/api/v2/tenants//customBranding?rndId=&cascade=true,1633,959,200,1032
1.73E+12,A304_Logs_LandingPage_/api/v2/navigation/menu?rndId=null,1635,959,200,5640
1.73E+12,A303_Logs_LandingPage_/api/v2/tenants//featureset?rndId=,2738,959,200,3621
1.73E+12,A305_Logs_LandingPage_/clients.json?mspId=&_ajax=true,1265,959,200,9861
1.73E+12,TA307____Logs_LandingPage - bzm - Parallel Controller,0,0,200,14127
1.73E+12,A308_Logs_LandingPage_/infra-ui/asset-manifest.json?rndId=,1869,1377,200,4266
1.73E+12,A307_Logs_LandingPage_/client.do?action=contextUpdate&clientId=&_ajax=true,4237,1870,200,9861
1.73E+12,A309_Logs_LandingPage_/api/v2/tenants/client/d17725c6-5310-42b0-aac6-613040ac83ec,620,0,200,5330
1.73E+12,A310_Logs_LandingPage_/api/v2/users/me/views/default?entityType=log,496,0,200,868
1.73E+12,A311_Logs_LandingPage_/logsrql/api/v7/tenants//retention_policy,1649,0,200,580
1.73E+12,TA312____Logs_LandingPage - bzm - Parallel Controller,0,0,200,1310
1.73E+12,"A313_Logs_LandingPage_/opsql/api/v7/tenants//queries--""objectType"":""alert""",1417,996,200,719
1.73E+12,A312_Logs_LandingPage_/logsrql/api/v7/tenants//logs?query=&limit=51&start=1713158091813000000&end=1713159891813000000,1417,996,200,591
1.73E+12,TA314____Logs_LandingPage - bzm - Parallel Controller,0,0,200,1288
1.73E+12,A315_Logs_LandingPage_/logsrql/api/v7/tenants//logs/count?query=&step=30,1738,1082,200,599
1.73E+12,A314_Logs_LandingPage_/logsrql/api/v7/tenants/logs/labels?start=,1738,1082,200,689
1.73E+12,ZZZ__Trans_Controller_Dummy_Sampler,0,0,200,114
1.73E+12,TA301____Infra_Logs_LandingPage,3673,0,200,53262
1.73E+12,TA316____last_30min_With_1_Label_Filter,0,0,200,1190
1.73E+12,A317_Logs_30Min_/logsrql/api/v7/tenants//logs,1464,985,200,591
1.73E+12,A316_Logs_30Min_/logsrql/api/v7/tenants/logs/count,1858,985,200,599
1.73E+12,TA318____last_30Min_With_2_Label_Filter,0,0,200,1190
1.73E+12,A319_Logs_30Min_/logsrql/api/v7/tenants//logs,1691,1249,200,591
1.73E+12,A318_Logs_30Min_/logsrql/api/v7/tenants/logs/count,1929,1249,200,599
1.73E+12,A320_Logs_1Hour_/logsrql/api/v7/tenants//logs?query=&limit,558,0,200,591
1.73E+12,TA321____Infra_Logs_By_last_1_hours,0,0,200,1288
1.73E+12,A322_Logs_1Hour_/logsrql/api/v7/tenants/logs/count,1740,1326,200,599
1.73E+12,A321_Logs_1Hour_/logsrql/api/v7/tenants//logs/labels,1810,1326,200,689
1.73E+12,TA323____last_1_hours_With_1_Label_Filter,0,0,200,1190
1.73E+12,A324_Logs_1Hour_/logsrql/api/v7/tenants//logs,1650,1217,200,591
1.73E+12,A323_Logs_1Hour_/logsrql/api/v7/tenants/logs/count,2119,1217,200,599
1.73E+12,TA325____last_1_hours_With_2_Label_Filter,0,0,200,1190
1.73E+12,A326_Logs_1Hour_/logsrql/api/v7/tenants//logs,1728,1184,200,591
1.73E+12,A325_Logs_1Hour_/logsrql/api/v7/tenants/logs/count,1926,1184,200,599
1.73E+12,ZZZ__Trans_Controller_Dummy_Sampler,0,0,200,114
1.73E+12,TA320____Infra_Logs_By_last_1_hours,558,0,200,4373
1.73E+12,A327_Logs_4Hour_/logsrql/api/v7/tenants//logs?query=&limit,2054,695,200,943545
1.73E+12,TA328____Infra_Logs_By_last_4_hours,0,0,200,1288
